model_name,JA,model_size_category,TOTAL_SCORE,汎用的言語性能(GLP)_AVG,GLP_応用的言語性能,GLP_推論能力,GLP_知識・質問応答,GLP_基礎的言語性能,GLP_アプリケーション開発,GLP_表現,GLP_翻訳,GLP_情報検索,GLP_抽象的推論,GLP_論理的推論,GLP_数学的推論,GLP_一般的知識,GLP_専門的知識,GLP_意味解析,GLP_構文解析,GLP_コーディング,GLP_関数呼び出し,アラインメント(ALT)_AVG,ALT_制御性,ALT_倫理・道徳,ALT_毒性,ALT_バイアス,ALT_真実性,ALT_堅牢性,AVG_jaster_0shot,AVG_jaster_2shots,AVG_mtbench,AVG_swebench,model_size,model_release_date
openai/gpt-4-1-2025-04-14,0,api,0.7231296232,0.6968480275,0.8798315023,0.5916666667,0.586145,0.8326666667,0.5939303016,0.98,0.911719507,0.747775,0.13,0.795,0.85,0.75859,0.4137,0.827,0.8383333333,0.5816877637,0.6061728395,0.8113054366,0.8823372314,0.91,0.7960468792,0.8387096774,0.6357388316,0.805,0.7826456329,0.7964786034,0.958125,0.4050632911,null,1713052800000
openai/o1-2024-12-17: high-effort,0,api,0.714795013,0.6538658138,0.7332810749,0.5538888889,0.6610541667,0.8553333333,0.4657716049,0.5166666667,0.9088015582,0.774375,0.29,0.505,0.8666666667,0.697375,0.6247333333,0.844,0.8666666667,0.305,0.6265432099,0.8428477422,0.8963163717,0.89,0.6690764141,0.9523809524,0.6993127148,0.95,0.8412825463,0.8512051763,0.53375,0.425,null,1734393600000
openai/gpt-oss-120b,0,Large (30B+),0.7139886864,0.6984672193,0.868978117,0.6461111111,0.6133591667,0.8058333333,0.5580543685,0.965,0.903359351,0.738575,0.22,0.81,0.9083333333,0.665985,0.5607333333,0.82,0.7916666667,0.5321581197,0.5839506173,0.780996811,0.850858091,0.9,0.6577139242,0.8902439024,0.5721649485,0.815,0.7912071789,0.7681882232,0.95625,0.2875,117000000000,1754352000000
Qwen/Qwen3-235B-A22B,0,Large (30B+),0.7138781031,0.6894881074,0.8823781247,0.6355555556,0.60974,0.7715,0.5482668566,0.9733333333,0.9012010409,0.7726,0.12,0.84,0.9466666667,0.63528,0.5842,0.778,0.765,0.4786324786,0.6179012346,0.7922150823,0.8069279393,0.91,0.8078969935,0.8595652174,0.5189003436,0.85,0.7645979222,0.7758132353,0.955625,0.125,235093634560,1741219200000
openai/o4-mini-2025-04-16,0,api,0.7134898142,0.6651150213,0.7208322929,0.6138888889,0.6340575,0.8213333333,0.5354630913,0.465,0.9074468786,0.79005,0.43,0.505,0.9066666667,0.641615,0.6265,0.841,0.8016666667,0.4363582814,0.6345679012,0.8133121353,0.9091640329,0.91,0.6496964958,0.8510638298,0.6649484536,0.895,0.8264171761,0.8351804802,0.490625,0.4594594595,null,1744761600000
openai/gpt-4o-2024-11-20,0,api,0.7112894893,0.6743562013,0.8553107375,0.5311111111,0.5686916667,0.8086666667,0.6080008247,0.9366666667,0.9101155458,0.71915,0.07,0.72,0.8033333333,0.74535,0.3920333333,0.799,0.8183333333,0.5641497976,0.6518518519,0.8130780403,0.8248151075,0.95,0.7951651618,0.8666666667,0.6718213058,0.77,0.764647124,0.7889294257,0.9,0.2105263158,null,1732060800000
anthropic/claude-3.7-sonnet-20250219: no-thinking,0,api,0.708707438,0.6346075058,0.887741698,0.6483333333,0.4990033333,0.547,0.5909591643,0.9533333333,0.9104667605,0.799425,0.14,0.935,0.87,0.57604,0.4219666667,0.799,0.295,0.5362393162,0.6456790123,0.8350951287,0.734341024,0.97,0.8578448682,0.98,0.6683848797,0.8,0.6193054262,0.6399858156,0.94375,0.35,null,1739923200000
Qwen/Qwen3-14B,0,Medium (10–30B),0.7068349502,0.6785835919,0.8525302504,0.635,0.5738775,0.7746666667,0.5568435423,0.9266666667,0.9003990844,0.730525,0.08,0.885,0.94,0.583955,0.5638,0.781,0.7683333333,0.5001068376,0.6135802469,0.7895083835,0.8103207965,0.91,0.8044321277,0.8946341463,0.4776632302,0.84,0.7475511279,0.7639407083,0.934375,0.1875,14768307200,1741219200000
Qwen/Qwen3-32B,0,Large (30B+),0.7058204026,0.6823796063,0.8751005455,0.6327777778,0.5817925,0.7888333333,0.5333938746,0.9433333333,0.8956183033,0.78635,0.1,0.855,0.9433333333,0.591285,0.5723,0.796,0.7816666667,0.4760470085,0.5907407407,0.786937242,0.799437421,0.9,0.8090067595,0.7619047619,0.5612745098,0.89,0.760056086,0.7722785958,0.92625,0.2375,32762123264,1741219200000
anthropic/claude-sonnet-4-20250514: no-thinking,0,api,0.7052144794,0.6442077122,0.8837127833,0.65,0.4903991667,0.5636666667,0.6332599445,0.9366666667,0.9121216832,0.80235,0.17,0.915,0.865,0.578665,0.4021333333,0.829,0.2983333333,0.5794828519,0.687037037,0.8130508398,0.7045986094,0.96,0.8395610539,0.8260869565,0.7130584192,0.835,0.6083520571,0.6574505999,0.943125,0.4810126582,null,1747180800000
google/gemini-2.5-flash,0,api,0.6986720877,0.6654810315,0.7764689563,0.6133333333,0.5770233333,0.8005,0.5600795347,0.6833333333,0.9111985356,0.734875,0.12,0.865,0.855,0.67688,0.4771666667,0.801,0.8,0.5004059829,0.6197530864,0.7839279781,0.8117493679,0.96,0.6945863179,0.8613043478,0.5309278351,0.845,0.766137262,0.8074174637,0.774375,0.2375,null,1750118400000
anthropic/claude-3.5-sonnet-20241022,0,api,0.6971567782,0.6198890574,0.8579490074,0.61,0.4864025,0.5416666667,0.603427113,0.9566666667,0.9095303555,0.70765,0.14,0.845,0.845,0.543905,0.4289,0.79,0.2933333333,0.5278418803,0.6790123457,0.826819999,0.7420496207,0.97,0.802494241,0.9090909091,0.6872852234,0.85,0.6074723173,0.6285647212,0.9175,0.3625,null,1729555200000
openai/gpt-4-1-mini-2025-04-14,0,api,0.6961300722,0.6701921477,0.8691411796,0.5883333333,0.5543466667,0.7525,0.5866395591,0.9516666667,0.9072568721,0.7485,0.08,0.88,0.805,0.70796,0.4007333333,0.79,0.715,0.5911803527,0.5820987654,0.7775901187,0.8411551833,0.94,0.6905980966,0.9142857143,0.5945017182,0.685,0.7368156391,0.7395165375,0.95,0.3037974684,null,1744588800000
Qwen/QwQ-32B: reasoning-enabled,0,Large (30B+),0.6961270784,0.681385251,0.8842132899,0.6205555556,0.5774591667,0.7836666667,0.5410315764,0.9616666667,0.9014232029,0.78955,0.09,0.87,0.9016666667,0.601085,0.5538333333,0.794,0.7733333333,0.5240384615,0.5580246914,0.7666344241,0.7629677623,0.92,0.81063883,0.8055813953,0.5206185567,0.78,0.7586100481,0.7668542154,0.935625,0.2875,32763876352,1741219200000
Qwen/Qwen3-30B-A3B,0,Large (30B+),0.688004094,0.6628405795,0.8509785644,0.62,0.5660325,0.7793333333,0.4978584995,0.9383333333,0.89660236,0.718,0.04,0.87,0.95,0.571565,0.5605,0.797,0.7616666667,0.4154700855,0.5802469136,0.7723272366,0.7922645386,0.86,0.8097297888,0.9155319149,0.4664371773,0.79,0.747057386,0.757104912,0.934375,0.15,30532122624,1741219200000
rinna/qwq-bakeneko-32b: reasoning-enabled,1,Large (30B+),0.6857971975,0.6715952389,0.8753614747,0.6155555556,0.5677666667,0.7558333333,0.5434591643,0.9616666667,0.8968927573,0.767525,0.08,0.88,0.8866666667,0.6168,0.5187333333,0.765,0.7466666667,0.4967948718,0.5901234568,0.7527338639,0.769426359,0.9,0.8094397363,0.7870731707,0.5154639175,0.735,0.7485647171,0.7474200311,0.925,0.15,32763876352,1741824000000
deepseek-ai/DeepSeek-V3-0324,0,Large (30B+),0.6841603272,0.6582985254,0.8902870645,0.5616666667,0.5375275,0.7701666667,0.5318447293,0.9683333333,0.9096278602,0.7929,0.13,0.755,0.8,0.712755,0.3623,0.752,0.7883333333,0.5396153846,0.5240740741,0.7759521763,0.8073846397,0.93,0.8098800696,0.7755102041,0.5979381443,0.735,0.7166405336,0.7659956849,0.925625,0.275,684531386000,1742774400000
Qwen/Qwen3-8B: reasoning-enabled,0,Small (<10B),0.6727439676,0.6514439872,0.8392758169,0.6133333333,0.5279275,0.7525,0.5241832858,0.915,0.8921274508,0.7107,0.07,0.83,0.94,0.527255,0.5286,0.785,0.72,0.4403418803,0.6080246914,0.7492919151,0.7736030341,0.83,0.7815726308,0.8830434783,0.4325323475,0.795,0.722024158,0.7323105144,0.905625,0.075,8190735360,1741219200000
elyza/ELYZA-Shortcut-1.0-Qwen-32B,1,Large (30B+),0.6693869872,0.641464228,0.8733098913,0.5105555556,0.501115,0.782,0.5403406933,0.9,0.903829674,0.8161,0.1,0.695,0.7366666667,0.60693,0.3953,0.789,0.775,0.5133974359,0.5672839506,0.7686809053,0.8021554994,0.94,0.8260841236,0.7826086957,0.5412371134,0.72,0.7181371787,0.7389108103,0.85625,0.1375,32763876352,1746057600000
rinna/deepseek-r1-distill-qwen2.5-bakeneko-32b: reasoning-enabled,1,Large (30B+),0.6596900001,0.6504027813,0.8707618267,0.62,0.5143966667,0.7475,0.4993554131,0.94,0.89831048,0.773975,0.06,0.885,0.915,0.56006,0.4687333333,0.75,0.745,0.4801923077,0.5185185185,0.7249823359,0.725783818,0.84,0.7911548712,0.805,0.5429553265,0.645,0.7269271942,0.7237839638,0.920625,0.2125,32763876352,1739404800000
rinna/qwen2.5-bakeneko-32b-instruct-v2,1,Large (30B+),0.6579706686,0.6349278238,0.8634157641,0.5483333333,0.4731891667,0.7683333333,0.5213675214,0.9483333333,0.8973139589,0.7446,0.06,0.84,0.745,0.574445,0.3719333333,0.78,0.7566666667,0.4705128205,0.5722222222,0.7490100367,0.799159292,0.89,0.7918369149,0.8388372093,0.4742268041,0.7,0.6824546617,0.7183214922,0.916875,0.125,32763876352,1739404800000
Qwen/Qwen3-4B: reasoning-enabled,,Small (<10B),0.6571400689,0.627004237,0.8118797676,0.5988888889,0.4869291667,0.738,0.4993233618,0.855,0.8857893029,0.69485,0.05,0.835,0.9116666667,0.455025,0.5188333333,0.761,0.715,0.4134615385,0.5851851852,0.7466330603,0.7474810367,0.86,0.7740081467,0.8922222222,0.3860869565,0.82,0.6912178205,0.7010998634,0.868125,0.075,4022468096,1741219200000
tokyotech-llm/Llama-3.3-Swallow-70B-Instruct-v0.4,1,Large (30B+),0.6548416111,0.6237384024,0.8683107609,0.4961111111,0.5290275,0.7768333333,0.4484093067,0.91,0.9079072827,0.787025,0.1,0.685,0.7033333333,0.702755,0.3553,0.762,0.7916666667,0.3807692308,0.5160493827,0.7625904375,0.7723230088,0.93,0.8306450935,0.7955813953,0.6219931271,0.625,0.7207543728,0.7555317349,0.82875,0.025,70553706496,1741564800000
cyberagent/DeepSeek-R1-Distill-Qwen-32B-Japanese,1,Large (30B+),0.6515323969,0.6355615335,0.8771491635,0.585,0.5264683333,0.7436666667,0.4455235043,0.9466666667,0.8952808237,0.7895,0.05,0.8,0.905,0.54097,0.5119666667,0.754,0.7333333333,0.4799358974,0.4111111111,0.7311090085,0.7555467762,0.89,0.7760332593,0.848974359,0.4810996564,0.635,0.7306867321,0.729512782,0.895625,0.2625,32763876352,1737936000000
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0,Large (30B+),0.6512088747,0.6126022668,0.8388808925,0.4966666667,0.484285,0.7228333333,0.5203454416,0.8716666667,0.9027010107,0.742275,0.1,0.81,0.58,0.64627,0.3223,0.779,0.6666666667,0.4980982906,0.5425925926,0.7587693006,0.7686441214,0.95,0.7754048123,0.7973469388,0.5962199313,0.665,0.6097402787,0.74997578,0.87,0.2375,401649841664,1743811200000
google/gemma-3-27b-it,0,Medium (10–30B),0.649065754,0.6111276833,0.8273745893,0.4766666667,0.52127,0.7465,0.4838271605,0.935,0.904348768,0.642775,0.05,0.735,0.645,0.66524,0.3773,0.743,0.75,0.4522222222,0.5154320988,0.7582530519,0.7861725664,0.94,0.802777988,0.7543478261,0.5962199313,0.67,0.6712148827,0.7250777052,0.8825,0.075,27432406640,1741737600000
openai/o3-mini-2025-01-31,0,api,0.6374155215,0.5560917738,0.5885827273,0.4127777778,0.5801508333,0.8243333333,0.3746141975,0.095,0.9041731818,0.766575,0.25,0.19,0.7983333333,0.537135,0.6231666667,0.827,0.8216666667,0.1541666667,0.5950617284,0.7959692706,0.9148388116,0.86,0.6725002943,0.7555555556,0.6529209622,0.92,0.8063748743,0.8097197587,0.201875,0.3125,null,1738281600000
openai/gpt-4o-mini-2024-07-18,0,api,0.6289415502,0.6121484291,0.8589512291,0.4544444444,0.4671116667,0.7436666667,0.5365681387,0.8966666667,0.9049120207,0.775275,0.04,0.63,0.6933333333,0.62199,0.3122333333,0.734,0.7533333333,0.4885683761,0.5845679012,0.7143858845,0.8292793932,0.97,0.6396991441,0.795,0.5223367698,0.53,0.6847096554,0.699320124,0.85875,0.0625,null,1721260800000
tokyotech-llm/Gemma-2-Llama-Swallow-27b-it-v0.1,1,Medium (10–30B),0.6255867092,0.5804532175,0.843874924,0.4144444444,0.511215,0.7255,0.4072317189,0.8866666667,0.9042331055,0.740725,0.05,0.56,0.6333333333,0.69193,0.3305,0.706,0.745,0.3582905983,0.4561728395,0.7538427796,0.7613305942,0.91,0.8319681951,0.7809090909,0.6838487973,0.555,0.6686500726,0.7232526279,0.785,0.05,27227128320,1747612800000
meta-llama/Llama-4-Scout-17B-16E-Instruct,0,Large (30B+),0.6186561245,0.5800194147,0.8268101457,0.4461111111,0.4578783333,0.7188333333,0.45046415,0.825,0.9014554372,0.753975,0.02,0.68,0.6383333333,0.61999,0.2957666667,0.736,0.7016666667,0.4311752137,0.4697530864,0.7344391792,0.7494958913,0.9,0.7056986901,0.7969387755,0.5945017182,0.66,0.6319699828,0.7161104399,0.824375,0.1125,108641793536,1743811200000
anthropic/claude-3.5-haiku-20241022,0,api,0.618255049,0.5494572561,0.8586539421,0.4844444444,0.4039091667,0.472,0.5282787274,0.925,0.9073618263,0.7436,0.08,0.715,0.6583333333,0.470685,0.3371333333,0.674,0.27,0.4781623932,0.5783950617,0.7486086777,0.7129709229,0.9,0.8079211646,0.7692307692,0.6065292096,0.695,0.5094051846,0.5566683103,0.8725,0.2,null,1729555200000
google/gemma-3-12b-it,0,Medium (10–30B),0.6179113031,0.5689166138,0.8100215423,0.4177777778,0.4611375,0.6826666667,0.4729795821,0.885,0.9012146269,0.64385,0.05,0.61,0.5933333333,0.613575,0.3087,0.687,0.6783333333,0.4175641026,0.5283950617,0.7423800523,0.8026611884,0.9,0.7771629927,0.817755102,0.5567010309,0.6,0.6339799904,0.6533276167,0.82625,0.025,12187325040,1741737600000
meta-llama/Llama-3.3-70B-Instruct,0,Large (30B+),0.6160459334,0.5950827748,0.8060809872,0.4366666667,0.50201,0.7836666667,0.4469895537,0.785,0.9053179616,0.727925,0.08,0.665,0.565,0.61172,0.3923,0.779,0.7883333333,0.4452136752,0.4487654321,0.7105938288,0.7904693426,0.92,0.599294626,0.8181632653,0.4656357388,0.67,0.6621197696,0.7417510563,0.785625,0.175,70553706496,1733443200000
mistral/mistral-large-2411,0,api,0.6116616148,0.5482743359,0.8145999105,0.5105555556,0.4013491667,0.5258333333,0.4890337132,0.8666666667,0.9062330648,0.6709,0.05,0.76,0.7216666667,0.469165,0.3335333333,0.76,0.2916666667,0.5033760684,0.474691358,0.7368254154,0.6638621997,0.96,0.7226184171,0.9110526316,0.558419244,0.605,0.5467622079,0.580853191,0.849375,0.125,null,1732406400000
openai/gpt-4-1-nano-2025-04-14,0,api,0.6040393199,0.5773379212,0.8397459637,0.4466666667,0.4360166667,0.6705,0.4937603089,0.9033333333,0.9009545577,0.71495,0.02,0.675,0.645,0.5749,0.2971333333,0.626,0.715,0.5004835807,0.487037037,0.6989028718,0.8037231353,0.88,0.6783538892,0.7916666667,0.5446735395,0.495,0.6191983386,0.6332834706,0.87875,0.1315789474,null,1744588800000
tokyotech-llm/Gemma-2-Llama-Swallow-9b-it-v0.1,1,Small (<10B),0.6034549888,0.5462750037,0.8310864215,0.3827777778,0.4835891667,0.7381666667,0.2957549858,0.8716666667,0.9021175978,0.719475,0.04,0.6,0.5083333333,0.645045,0.3221333333,0.668,0.8083333333,0.3341025641,0.2574074074,0.7591454824,0.7558738938,0.9,0.8321605125,0.795,0.616838488,0.655,0.6560148534,0.6889635619,0.73875,0.025,9241705984,1747612800000
pfn/plamo-2.0-prime,1,api,0.6016800954,0.5611274572,0.8662074569,0.4088888889,0.4754533333,0.807,0.2480876068,0.8983333333,0.9070890374,0.7932,0.01,0.68,0.5366666667,0.67694,0.2739666667,0.839,0.775,0.3683974359,0.1277777778,0.7475757034,0.8208075221,0.91,0.8463047737,0.6708333333,0.4725085911,0.765,0.6828032473,0.7383410104,0.826875,0.0125,null,1747872000000
us.amazon.nova-pro-v1:0,0,api,0.6014737801,0.5383368387,0.836531074,0.4833333333,0.322745,0.489,0.5600747863,0.8866666667,0.8606515552,0.762275,0.02,0.775,0.655,0.45159,0.1939,0.723,0.255,0.5312606838,0.5888888889,0.7271326014,0.6168283818,0.86,0.8531735523,0.8573469388,0.5704467354,0.605,0.4763006991,0.5502202259,0.8575,0.1875,null,1733184000000
cyberagent/calm3-22b-chat-selfimprove-experimental,1,Medium (10–30B),0.5848154352,0.5473807525,0.8440881403,0.3733333333,0.4101166667,0.6981666667,0.4111989554,0.83,0.9011144209,0.80115,0.04,0.61,0.47,0.5781,0.2421333333,0.688,0.7083333333,0.3680769231,0.4543209877,0.7093105625,0.6841845765,0.87,0.8250710418,0.7157142857,0.6408934708,0.52,0.6109351178,0.6491355991,0.72375,0,22542882816,1739404800000
tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,1,Small (<10B),0.5819486461,0.5366209037,0.8330275339,0.3377777778,0.4356883333,0.715,0.3616108737,0.8583333333,0.9013492684,0.7394,0.01,0.585,0.4183333333,0.62101,0.2503666667,0.67,0.76,0.3164316239,0.4067901235,0.7215165902,0.725545196,0.87,0.7754615617,0.88,0.6030927835,0.475,0.6210521422,0.6597119302,0.72875,0.0125,8030261248,1750809600000
mistral/mistral-small-2503,0,api,0.567863215,0.50264075,0.7151906087,0.2977777778,0.4227375,0.703,0.3744978632,0.4983333333,0.9036134928,0.743625,0.1,0.39,0.4033333333,0.511775,0.3337,0.731,0.675,0.2934401709,0.4555555556,0.7236446865,0.7658944374,0.91,0.7084531376,0.8095652174,0.5429553265,0.605,0.6418839931,0.6882826072,0.415625,0.1125,null,1748736000000
us.amazon.nova-lite-v1:0,0,api,0.5648310797,0.508262703,0.8390068461,0.4211111111,0.3277658333,0.4563333333,0.4970963913,0.8066666667,0.9060538717,0.8043,0.05,0.68,0.5333333333,0.383465,0.2720666667,0.721,0.1916666667,0.4565384615,0.537654321,0.6867247109,0.596460177,0.9,0.799352006,0.74,0.4845360825,0.6,0.4385028132,0.5490544429,0.76625,0.1,null,1733184000000
us.amazon.nova-micro-v1:0,0,api,0.5605984162,0.49180482,0.8142969156,0.3972222222,0.3119916667,0.4426666667,0.4928466287,0.8466666667,0.9016240801,0.6946,0.01,0.66,0.5216666667,0.31685,0.3071333333,0.632,0.2533333333,0.4770512821,0.5086419753,0.6978822015,0.6015881795,0.86,0.8166658259,0.8065306122,0.4725085911,0.63,0.4610290486,0.4742783005,0.784375,0.05,null,1733184000000
google/gemini-2.5-flash-lite,0,api,0.5543856606,0.5087670539,0.7481916228,0.48,0.4460033333,0.5525,0.3171403134,0.9183333333,0.7838415351,0.5424,0.09,0.75,0.6,0.59294,0.2990666667,0.555,0.55,0.4305769231,0.2037037037,0.6624033887,0.6642383059,0.7,0.7023452213,0.8281632653,0.5446735395,0.535,0.535374496,0.5624582998,0.881875,0.0875,null,1750118400000
Qwen/Qwen3-1.7B: reasoning-enabled,0,Small (<10B),0.5510283646,0.5310968824,0.7141521611,0.4888888889,0.3832033333,0.6561666667,0.4130733618,0.6633333333,0.8592231499,0.6199,0.04,0.6,0.8266666667,0.35734,0.4090666667,0.729,0.5833333333,0.3131837607,0.512962963,0.6289578515,0.7124399494,0.78,0.6681736784,0.7295238095,0.2936096718,0.59,0.6148110605,0.6070560042,0.671875,0.0375,2031739904,1741219200000
google/gemma-3-4b-it,0,Medium (10–30B),0.5473452617,0.4873229568,0.77634613,0.3166666667,0.3632558333,0.5965,0.3838461538,0.8483333333,0.8906800568,0.590025,0.02,0.45,0.48,0.489445,0.2370666667,0.563,0.63,0.3899145299,0.3777777778,0.6937417044,0.7438195322,0.8,0.7619373403,0.7680851064,0.4536082474,0.635,0.5438200375,0.5438840051,0.753125,0,4300079472,1741737600000
tokyotech-llm/Gemma-2-Llama-Swallow-2b-it-v0.1,1,Small (<10B),0.5071128373,0.4512525301,0.7799144951,0.2405555556,0.3375775,0.6285,0.2697150997,0.7366666667,0.8854268187,0.71765,0.01,0.41,0.3016666667,0.484755,0.1904,0.532,0.725,0.2746153846,0.2648148148,0.665911486,0.6602749684,0.8,0.8018332156,0.8554054054,0.5429553265,0.335,0.524698215,0.5481878869,0.565625,0,2614341888,1747612800000
Qwen/Qwen3-0.6B: reasoning-enabled,0,Small (<10B),0.4142421214,0.3900667236,0.5069073785,0.2972222222,0.1987766667,0.6253333333,0.3220940171,0.3966666667,0.7496304687,0.374425,0.02,0.25,0.6216666667,0.21372,0.1838333333,0.594,0.6566666667,0.1886324786,0.4555555556,0.5051605294,0.668817952,0.63,0.3628325094,0.86,0.1993127148,0.31,0.4858267256,0.4839635093,0.404375,0,751632384,1741219200000
meta-llama/Llama-3.2-3B-Instruct,0,Small (<10B),0.413457596,0.3464602591,0.6266524373,0.2027777778,0.2132908333,0.4251666667,0.2644135802,0.3316666667,0.8599156453,0.688375,0.04,0.325,0.2433333333,0.249515,0.1770666667,0.237,0.6133333333,0.135,0.3938271605,0.5626038097,0.5291039823,0.79,0.4049584258,0.8818181818,0.324742268,0.445,0.3170875982,0.4567189975,0.39625,0,3212749824,1727222400000
