instance_id,text_tokens,problem_tokens,hints_tokens,gold_patch_tokens
matplotlib__matplotlib-24177,22876,238,505,75
matplotlib__matplotlib-24570,7842,136,810,93
matplotlib__matplotlib-24627,23183,59,0,60
matplotlib__matplotlib-24637,7882,239,126,60
matplotlib__matplotlib-24870,11914,165,63,386
matplotlib__matplotlib-24970,14555,207,300,213
matplotlib__matplotlib-25122,5644,106,1106,159
matplotlib__matplotlib-25287,12535,166,66,112
matplotlib__matplotlib-25311,7684,101,0,78
matplotlib__matplotlib-25332,11994,105,12,93
matplotlib__matplotlib-25479,18873,583,356,137
matplotlib__matplotlib-25775,14131,98,54,409
matplotlib__matplotlib-25960,18225,88,876,252
matplotlib__matplotlib-26113,46329,1202,1012,60
matplotlib__matplotlib-26208,23142,277,47,44
matplotlib__matplotlib-26291,3737,347,575,51
matplotlib__matplotlib-26342,12026,58,39,66
matplotlib__matplotlib-26466,9635,177,78,198
mwaskom__seaborn-3069,9304,210,0,227
mwaskom__seaborn-3187,9191,155,46,156
pallets__flask-5014,3607,35,0,43
psf__requests-1142,3563,58,713,69
psf__requests-1724,3810,648,0,97
psf__requests-1766,1753,122,0,78
psf__requests-1921,3409,89,164,42
psf__requests-2317,3901,131,16,80
psf__requests-2931,4657,26,0,66
psf__requests-5414,5592,162,0,48
psf__requests-6028,5584,151,503,60
pydata__xarray-2905,15167,256,214,52
pydata__xarray-3095,17811,187,24,449
pydata__xarray-3151,5399,294,0,102
pydata__xarray-3305,36156,176,80,315
pydata__xarray-3677,28624,147,0,38
pydata__xarray-3993,56552,132,17,476
pydata__xarray-4075,2562,263,0,94
pydata__xarray-4094,19943,197,0,47
pydata__xarray-4356,2192,84,0,90
pydata__xarray-4629,5919,342,0,44
pydata__xarray-4687,10915,509,148,191
pydata__xarray-4695,22462,432,710,51
pydata__xarray-4966,3226,498,8,79
pydata__xarray-6461,10690,140,0,85
pydata__xarray-6599,11202,445,228,73
pydata__xarray-6721,11767,830,27,49
pydata__xarray-6744,6447,208,0,142
pydata__xarray-6938,61056,382,0,306
pydata__xarray-6992,52241,208,0,805
pydata__xarray-7229,11543,361,207,269
pydata__xarray-7233,6529,261,0,53
pydata__xarray-7393,8440,300,224,55
pylint-dev__pylint-4551,5491,100,245,673
pylint-dev__pylint-4604,10682,98,0,90
pylint-dev__pylint-4661,2281,133,168,185
pylint-dev__pylint-4970,5443,91,51,49
pylint-dev__pylint-6386,9486,98,0,256
pylint-dev__pylint-6528,7326,270,11,251
pylint-dev__pylint-6903,2576,305,57,86
pylint-dev__pylint-7080,3794,1892,349,35
pylint-dev__pylint-7277,1950,143,68,73
pylint-dev__pylint-8898,5388,341,802,280
pytest-dev__pytest-10051,4585,134,0,126
pytest-dev__pytest-10081,2940,283,0,96
pytest-dev__pytest-10356,4380,745,1443,249
pytest-dev__pytest-5262,4713,479,172,41
pytest-dev__pytest-5631,2514,202,0,115
pytest-dev__pytest-5787,2786,310,15,820
pytest-dev__pytest-5809,1445,122,0,65
pytest-dev__pytest-5840,6951,62,329,359
pytest-dev__pytest-6197,7459,226,124,178
pytest-dev__pytest-6202,7343,148,98,37
pytest-dev__pytest-7205,1629,393,32,43
pytest-dev__pytest-7236,2356,241,56,156
pytest-dev__pytest-7324,1883,42,180,133
pytest-dev__pytest-7432,2454,99,35,41
pytest-dev__pytest-7490,3182,826,15,174
pytest-dev__pytest-7521,4871,356,55,34
pytest-dev__pytest-7571,4447,56,10,125
pytest-dev__pytest-7982,3862,71,0,43
pytest-dev__pytest-8399,10339,130,163,189
scikit-learn__scikit-learn-10297,8450,182,87,427
scikit-learn__scikit-learn-10844,5918,284,479,89
scikit-learn__scikit-learn-10908,8806,250,39,44
scikit-learn__scikit-learn-11310,9068,162,5,209
scikit-learn__scikit-learn-11578,11762,785,875,47
scikit-learn__scikit-learn-12585,3808,174,402,55
scikit-learn__scikit-learn-12682,8725,76,106,1050
scikit-learn__scikit-learn-12973,9438,241,0,171
scikit-learn__scikit-learn-13124,13738,1093,41,111
scikit-learn__scikit-learn-13135,3103,596,0,58
scikit-learn__scikit-learn-13142,3678,315,140,137
scikit-learn__scikit-learn-13328,3157,450,0,52
scikit-learn__scikit-learn-13439,5651,120,55,61
scikit-learn__scikit-learn-13496,3963,197,66,109
scikit-learn__scikit-learn-13779,3420,61,0,52
scikit-learn__scikit-learn-14053,5883,324,383,56
scikit-learn__scikit-learn-14087,13700,204,81,112
scikit-learn__scikit-learn-14141,1477,26,0,24
scikit-learn__scikit-learn-14496,6429,259,284,500
scikit-learn__scikit-learn-14629,4624,172,62,176
scikit-learn__scikit-learn-14710,7153,548,3,55
scikit-learn__scikit-learn-14894,5699,189,0,91
scikit-learn__scikit-learn-14983,12214,110,171,84
scikit-learn__scikit-learn-15100,10565,249,81,90
scikit-learn__scikit-learn-25102,7771,345,1186,408
scikit-learn__scikit-learn-25232,5666,191,178,202
scikit-learn__scikit-learn-25747,2891,495,494,73
scikit-learn__scikit-learn-25931,4264,292,757,190
scikit-learn__scikit-learn-25973,3099,212,341,243
scikit-learn__scikit-learn-26194,11936,140,0,259
scikit-learn__scikit-learn-26323,7112,245,0,63
scikit-learn__scikit-learn-9288,10413,373,462,159
sphinx-doc__sphinx-10323,3138,263,62,48
sphinx-doc__sphinx-10435,9998,229,0,74
sphinx-doc__sphinx-10449,2332,567,7,152
sphinx-doc__sphinx-10466,2456,272,1265,69
sphinx-doc__sphinx-10614,3144,347,0,115
sphinx-doc__sphinx-10673,5437,134,0,458
sphinx-doc__sphinx-11445,1387,213,59,159
sphinx-doc__sphinx-11510,2864,544,2276,345
sphinx-doc__sphinx-7440,5989,90,16,83
sphinx-doc__sphinx-7454,7226,279,0,62
sphinx-doc__sphinx-7462,7888,128,49,153
sphinx-doc__sphinx-7590,47506,66,0,891
sphinx-doc__sphinx-7748,10108,62,194,567
sphinx-doc__sphinx-7757,4221,77,0,161
sphinx-doc__sphinx-7889,1656,136,0,60
sphinx-doc__sphinx-7910,3283,148,48,71
sphinx-doc__sphinx-7985,2799,224,82,142
sphinx-doc__sphinx-8035,11078,99,0,427
sphinx-doc__sphinx-8056,6256,179,0,174
sphinx-doc__sphinx-8120,8432,218,265,181
sphinx-doc__sphinx-8265,2035,202,9,166
sphinx-doc__sphinx-8269,2779,146,0,46
sphinx-doc__sphinx-8459,1700,160,0,54
sphinx-doc__sphinx-8475,2733,115,0,80
sphinx-doc__sphinx-8548,13790,39,467,382
sphinx-doc__sphinx-8551,9261,246,47,86
sphinx-doc__sphinx-8593,14086,92,0,414
sphinx-doc__sphinx-8595,12890,90,0,56
sphinx-doc__sphinx-8621,1416,249,0,41
sphinx-doc__sphinx-8638,7113,410,0,36
sphinx-doc__sphinx-8721,2361,78,0,55
sphinx-doc__sphinx-9229,13707,511,0,155
sphinx-doc__sphinx-9230,2771,124,0,47
sphinx-doc__sphinx-9258,7237,65,212,59
sphinx-doc__sphinx-9281,4838,95,156,117
sphinx-doc__sphinx-9320,4011,144,28,86
sphinx-doc__sphinx-9367,2053,58,0,94
sphinx-doc__sphinx-9461,23793,253,62,454
sphinx-doc__sphinx-9591,7513,227,0,52
sphinx-doc__sphinx-9602,7476,185,0,151
sphinx-doc__sphinx-9658,1875,220,0,111
sphinx-doc__sphinx-9673,1893,153,58,82
sphinx-doc__sphinx-9698,7524,105,0,68
sphinx-doc__sphinx-9711,1482,229,0,135
sympy__sympy-11618,6161,35,0,117
sympy__sympy-12096,15021,64,61,42
sympy__sympy-12419,4137,187,1380,135
sympy__sympy-12481,14637,55,0,79
sympy__sympy-12489,14730,169,32,1086
sympy__sympy-13031,7671,108,323,128
sympy__sympy-13091,118430,242,202,1811
sympy__sympy-13372,9784,159,96,66
sympy__sympy-13480,7279,56,11,45
sympy__sympy-13551,4469,67,66,79
sympy__sympy-13615,10913,30,171,87
sympy__sympy-13647,11950,211,7,57
sympy__sympy-13757,29198,57,0,41
sympy__sympy-13798,11786,147,31,105
sympy__sympy-13852,4854,261,10,306
sympy__sympy-13877,23929,328,307,384
sympy__sympy-13878,12280,459,6,1716
sympy__sympy-13974,3883,117,110,370
sympy__sympy-14248,24916,104,0,419
sympy__sympy-14531,5500,96,0,563
sympy__sympy-14711,5455,104,0,40
sympy__sympy-14976,4355,78,0,44
sympy__sympy-15017,2999,152,0,53
sympy__sympy-15345,2665,41,129,84
sympy__sympy-15349,4779,82,11,51
sympy__sympy-15599,3232,224,605,171
sympy__sympy-15809,5943,43,6,44
sympy__sympy-15875,6983,90,22,44
sympy__sympy-15976,5300,125,280,150
sympy__sympy-16450,11133,96,25,61
sympy__sympy-16597,21611,43,268,911
sympy__sympy-16766,5094,82,0,56
sympy__sympy-16792,12630,285,0,160
sympy__sympy-16886,14038,26,0,51
sympy__sympy-17139,12479,206,0,55
sympy__sympy-17318,11201,271,553,187
sympy__sympy-17630,7024,303,0,39
sympy__sympy-17655,7703,199,28,54
sympy__sympy-18189,18881,106,196,54
sympy__sympy-18199,8185,66,7,372
sympy__sympy-18211,7640,69,105,85
sympy__sympy-18698,29781,106,1033,128
sympy__sympy-18763,14335,60,0,60
sympy__sympy-19040,8148,210,277,49
sympy__sympy-19346,3530,72,0,91
sympy__sympy-19495,3704,245,0,289
sympy__sympy-19637,4768,29,0,53
sympy__sympy-19783,4845,54,0,116
sympy__sympy-19954,26823,100,0,152
sympy__sympy-20154,15179,88,0,226
sympy__sympy-20428,3291,392,0,40
sympy__sympy-20438,10005,123,4,312
sympy__sympy-20590,2523,80,195,91
sympy__sympy-20801,18486,85,0,73
sympy__sympy-20916,2557,19,151,83
sympy__sympy-21379,3477,293,1356,132
sympy__sympy-21596,4693,106,0,309
sympy__sympy-21612,6208,79,191,38
sympy__sympy-21847,5067,134,122,78
sympy__sympy-21930,14265,87,0,105
sympy__sympy-22080,7047,101,507,186
sympy__sympy-22456,10004,38,0,170
sympy__sympy-22714,7820,141,0,70
sympy__sympy-22914,4617,84,119,31
sympy__sympy-23262,9796,154,228,69
sympy__sympy-23413,4426,59,115,222
sympy__sympy-23534,6425,86,0,32
sympy__sympy-23824,5920,226,0,72
sympy__sympy-23950,2418,87,198,27
sympy__sympy-24066,3081,57,0,84
sympy__sympy-24213,3121,92,0,49
sympy__sympy-24443,4847,75,0,318
sympy__sympy-24539,11724,96,0,77
sympy__sympy-24562,20923,37,118,102
sympy__sympy-24661,7615,50,308,105
